server,rtt_min,rtt_max,rtt_avg,avg_pkt_loss,num_hops,distinct_domains
www.unimelb.edu.au,5.870,175.316,27.774,0.0,11,6
www.mtu.edu,10.931,124.743,36.826,0.0,14,8
www.polytech-lille.fr,104.908,312.534,140.597,0.0,27,9
www.utah.edu,55.160,312.447,94.690,2.0,38,11
www.wisc.edu,9.762,289.100,37.916,3.0,24,9
www.cam.ac.uk,106.784,314.932,143.398,0.0,68,11
www.tuj.ac.jp,21.541,139.152,49.452,0.0,69,7
www.umn.edu,20.071,130.077,46.202,3.0,69,6
www.unl.edu,28.795,223.592,59.752,5.0,74,9
www.iisc.ac.in,224.459,893.564,333.936,3.0,75,7
www.iastate.edu,11.215,124.849,35.417,2.0,72,6
www.aur.edu,5.819,124.594,27.165,0.0,67,4
www.cu.edu,5.058,120.236,28.926,0.0,67,4
